Date,"Alcoholic beverages, tobacco products and recreational cannabis",All-items,All-items excluding food,All-items excluding food and energy,Clothing and footwear,Food,Health and personal care,"Household operations, furnishings and equipment","Recreation, education and reading",Shelter,Transportation
Jan-92,,,,,,,,,,,
Feb-92,0.125313283,0.120336943,0.240096038,0.237529691,0.743889479,0.243902439,-0.234466589,0,0,0,-1.222826087
Mar-92,0.375469337,0.480769231,0.239520958,0.473933649,0,0.851581509,0.470035253,-0.114025086,0.126742712,-0.114155251,1.237964237
Apr-92,0.374064838,0.119617225,0.238948626,0.117924528,-0.105485232,0.120627262,0.701754386,0,-0.253164557,-0.114285714,0.135869565
May-92,0.49689441,0.238948626,0.238379023,0.35335689,0.844772967,-0.240963855,0.116144019,0.114155251,0.126903553,0.228832952,0.407055631
Jun-92,0.123609394,0.238379023,0,0.117370892,-0.418848168,0.603864734,0.232018561,0,0.126742712,-0.114155251,0.945945946
Jul-92,0.37037037,0,0.237812128,0,-0.105152471,-0.240096038,0.694444444,0.228050171,0.253164557,0.228571429,0.803212851
Aug-92,0.12300123,0.118906064,0.118623962,0.117233294,0.736842105,0.481347774,0.344827586,0.227531286,0,0.228050171,-1.062416999
Sep-92,0.122850123,0.118764846,-0.118483412,-0.117096019,-0.626959248,0.119760479,0,-0.227014756,0,-0.227531286,-0.268456376
Oct-92,0,0.118623962,0.355871886,0.234466589,0.630914826,-0.119617225,0.114547537,0,0.126262626,0.798175599,-0.134589502
Nov-92,0.122699387,0.118483412,0.11820331,0,-0.626959248,0.119760479,0.228832952,0.341296928,0.504413619,0.226244344,2.69541779
Dec-92,0.12254902,0.236686391,0,0.233918129,0.420609884,-0.119617225,0.114155251,0.113378685,0.125470514,0.112866817,-0.393700787
Jan-93,0.122399021,0.236127509,0.472255018,0.350058343,0.418848168,0.359281437,0.228050171,0,0.501253133,0.225479143,0.395256917
Feb-93,0,0.35335689,0.352526439,0.348837209,-0.521376434,0.477326969,0.227531286,0,0.124688279,0,0
Mar-93,0.122249389,0,0,0.23174971,0.209643606,0,0.227014756,-0.339750849,0,0,0
Apr-93,0.244200244,0.117370892,0.117096019,0.115606936,0.209205021,-0.356294537,0.113250283,0.568181818,0.622665006,0.112485939,-0.393700787
May-93,0,0.117233294,0.116959064,0,0,0.953516091,0.452488688,0.11299435,-0.123762376,-0.112359551,0
Jun-93,-0.243605359,0,0,0,0.626304802,-0.236127509,0.112612613,0.112866817,0.371747212,0,0.263504611
Jul-93,0.488400488,0.117096019,0.11682243,0.230946882,0,0,0,0.112739572,-0.12345679,0,0.919842313
Aug-93,0.364520049,0.233918129,0.116686114,0.115207373,-0.414937759,0.118343195,0.337457818,0,0.247218789,0.112485939,0
